llm_model_name,entity_name,input_tokens,output_tokens,cost_dollars,elapsed_time_llm_seconds
claude-3-haiku-20240307,OrderStatus,231,60,0.00013275,0.8604221343994141
claude-3-haiku-20240307,EcommerceApplication,2542,236,0.0009305,3.1021385192871094
claude-3-haiku-20240307,OrderRepository,1459,66,0.00044725,1.3709251880645752
claude-3-haiku-20240307,CategoryRepository,1459,95,0.0004835,1.3825633525848389
claude-3-haiku-20240307,ProductRepository,1459,66,0.00044725,1.3954553604125977
claude-3-haiku-20240307,Category,3612,280,0.001253,5.9216907024383545
claude-3-haiku-20240307,OrdersController,2293,159,0.000772,3.504143476486206
claude-3-haiku-20240307,Order,5157,375,0.001758,7.4438817501068115
claude-3-haiku-20240307,ProductQueryResolver,2290,160,0.0007725,2.4930553436279297
claude-3-haiku-20240307,Product,6344,470,0.0021735,12.666757345199585
claude-3-haiku-20240307,CategoriesController,5548,675,0.00223075,7.732939958572388
claude-3-haiku-20240307,ProductMutationResolver,5537,692,0.00224925,7.983092308044434
,TOTALS,37931,3334,0.013650250000000001,55.85706543922424
